id;name;price;description;quantity
1;Notebook Dell Inspiron;2325.01;Notebook with Intel i5 processor, 8GB RAM, and 256GB SSD;24030
2;Samsung Galaxy S21 Smartphone;18828.19;Phone with triple camera and 128GB storage;12174
3;JBL Bluetooth Headphones;8281.29;Powerful sound, wireless connection, and long battery life;15350
4;LG 50-inch LED TV;23581.16;Smart TV with 4K UHD resolution and HDR10;6792
5;PlayStation 5 Console;27271.4;Next-gen gaming console with 4K game support;8583
6;HP LaserJet Pro Printer;14497.74;Monochrome laser printer with Wi-Fi;31732
7;Samsung 27" Monitor;29823.71;Full HD LED monitor with 75Hz refresh rate;16772
8;DXRacer Gaming Chair;9020.87;Ergonomic chair with height adjustment and 135-degree recline;18658
9;Redragon Mechanical Keyboard;21201.59;Keyboard with mechanical switches and RGB lighting;23814
10;Laptop Backpack;23888.19;Padded compartment, water-resistant, with multiple pockets;14315
